id	examNumber	questionNumber	category	topic	type	difficulty	question	optionA	optionB	optionC	optionD	optionE	answerIndex	correctAnswer	explanation	source	sourcePhoto	answerPhoto	image	imageAlt	imageCaption
"exam1-012"	"1"	"12"	"Radiation Safety"	"Radiation Safety"	"concept"	"2"	"Which of the following agents used for pharmacologic stress testing remain in the plasma for the greatest length of time?"	"dobutamine"	"adenosine"	"nitroglycerin"	"dipyridamole"	"regadenoson"	"3"	"dipyridamole"	"Nitroglycerin is not used to induce pharmacologic stress. The plasma half-lives for the agents used in pharmacologic stress testing are: Plasma half-life Agent <10 seconds Adenosine 2 min Dobutamine 35-45 min Dipyridamole"	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 500."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1201.jpeg"	""	""	""
"exam1-013"	"1"	"13"	"Image Production"	"SPECT"	"protocol"	"3"	"SPECT liver imaging with [99mTc] sulfur colloid is performed how soon after tracer administration?"	"immediately"	"10-15 min"	"30-45 min"	"1-2 hr"	"3-4 hr"	"1"	"10-15 min"	"A 10-15 min time interval is necessary for the colloidal particles to be completely localized within the liver and spleen."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 543."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-014"	"1"	"14"	"Clinical Procedures"	"Lung Imaging"	"concept"	"4"	"Significantly increased serum bilirubin levels will most likely cause which of the following to be visualized on hepatobiliary images?"	"kidneys"	"colon"	"lungs"	"spleen"	"pancreas"	"0"	"kidneys"	"Increased serum bilirubin levels indicate poorly functioning hepatocytes. Therefore, these cells cannot efficiently remove the tracer from the blood, causing the tracer to be excreted through the urinary system."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 549."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-015"	"1"	"15"	"Radiopharmaceuticals"	"MAA / Pulmonary Perfusion"	"concept"	"5"	"Localization of a Meckel's diverticulum can be accomplished with which of the following radiopharmaceuticals?"	"[67Ga] citrate"	"[99mTc] pentetate (DTPA)"	"[99mTc] MAA"	"[99mTc] sulfur colloid"	"[99mTc] pertechnetate"	"4"	"[99mTc] pertechnetate"	"99mTc-pertechnetate is used to visualize a Meckel's diverticulum. Often, the Meckel's diverticulum is lined with gastric mucosa that concentrate this tracer."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 540."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-016"	"1"	"16"	"Clinical Procedures"	"Lung Imaging"	"protocol"	"1"	"In infants, 24 hr images are sometimes performed over what area to demonstrate gastroesophageal reflux?"	"nasopharynx"	"lung fields"	"stomach"	"upper small intestine"	"lower esophagus"	"1"	"lung fields"	"In infants, 24-hour images are useful for demonstrating aspiration of stomach contents. Waterstram-Rich and Gilmore, et al.,"	"Source: Early and Sodee, 1995; p. 526-527."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-017"	"1"	"17"	"Radiopharmaceuticals"	"Renal Imaging"	"concept"	"2"	"Effective renal plasma flow (ERPF) is measured with which of the following radiopharmaceuticals?"	"[99mTc] pentetate (DTPA)"	"[99mTc] disofenin (DISIDA)"	"[99mTc] medronate (MDP)"	"[99mTc] mertiatide (MAG3)"	"[99mTc] exametazime (HMPAO)"	"3"	"[99mTc] mertiatide (MAG3)"	"ERPF is primarily a measurement of tubular function. Therefore, a renal agent that is secreted by the tubules must be used. 99mTc-mertiatide (MAG3) is secreted by the renal tubules and is used to determine ERPF."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 562."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-018"	"1"	"18"	"Image Production"	"Lung Imaging"	"concept"	"3"	"Evaluating the quality of a bolus injection is best accomplished by which of the following techniques?"	"generating a time-activity curve for the superior vena cava"	"calculating the cardiac transit time"	"determining the heart to lung ratio"	"imaging the injection site for residual activity"	"visually inspecting the bolus"	"0"	"generating a time-activity curve for the superior vena cava"	"Evaluating the quality of a bolus injection is accomplished by generating a time-activity curve over the superior vena cava and measuring the full width at half maximum (FWHM). If the left ventricular ejection fraction is being determined, a FWHM ≤1 second indicates a technically satisfactory bolus injection. For a right ventricular ejection fraction, a FWHM of 2- 3 sec is adequate."	"Source: Crawford and Husain, 2011; p. 90."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-019"	"1"	"19"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"4"	"Which of the following is/are not normally visualized on a 67Ga image acquired 72 hr after tracer administration?"	"nasopharynx"	"lacrimal glands"	"kidneys"	"liver"	"sternum"	"2"	"kidneys"	"In the first 24 hours after administration, the kidneys excrete almost one-third of the 67Ga injected. Hence, renal activity is normally visualized on images up to 48 hours after tracer administration. After 48 hours, renal activity indicates disease."	"Source: Early and Sodee, 1995; p. 702."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-020"	"1"	"20"	"Patient Care"	"Patient Care"	"concept"	"5"	"Which of the following statements about ""transmission-based precautions"" is false?"	"These precautions are applied when a patient is known to be infected with a communicable disease."	"These precautions replace ""standard precautions."""	"These precautions include guidelines for airborne and droplet-borne diseases."	"These precautions include guidelines for contact transmitted diseases."	"These precautions must be implemented in the case of diseases such as varicella, tuberculosis, and mumps."	"1"	"These precautions replace ""standard precautions."""	"Transmission-based precautions are applied along with standard precautions when a patient is known to be infected with a communicable disease. They are a second level of precautions that include additional safety measures depending on the method in which the disease in question is transmitted."	"Source: Adler and Carlton, 2016; pp. 220-223."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-021"	"1"	"21"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"1"	"Which of the following statements about pentetreotide is true?"	"It exhibits no human antimurine antibody (HAMA) effect."	"It is a labeled antibody."	"It is a labeled antigen."	"It is excreted exclusively through the kidneys."	"It is labeled with 99mTc."	"0"	"It exhibits no human antimurine antibody (HAMA) effect."	"Pentetreotide is an analog of the hormone somatostatin that is labeled with 111In. It is a peptide rather than an antibody and, for this reason, does not induce the HAMA effect in patients. The tracer is mostly excreted through the urinary system, but a small amount is also excreted through the gastrointestinal tract."	"Source: SNMMI Procedure Guidelines Committee, 2011."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-022"	"1"	"22"	"Patient Care"	"Patient Care"	"concept"	"2"	"The purpose of using acetazolamide in conjunction with a brain agent is to:"	"Tranquilize the patient."	"Localize brain tumors."	"Localize the area of the brain from which seizures arise."	"Evaluate cerebrovascular hematoma."	"Evaluate cerebrovascular ischemia."	"4"	"Evaluate cerebrovascular ischemia."	"Acetazolamide (Diamox) is used in conjunction with SPECT brain imaging in patients with transient ischemic attacks, carotid artery disease, and cerebrovascular disease, among others. This technique is used to identify ischemic areas in the brain. Acetazolamide induces cerebral vasodilation. After it is administered, normal blood vessels dilate but diseased ones do not."	"Source: Park and Duncan, 1994; p. 240."	"Question photos/Questions/Exam 1/IMG_1295.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-023"	"1"	"23"	"Patient Care"	"Patient Care"	"concept"	"3"	"The technologist's responsibilities during tracer administration for a cisternogram include:"	"ensuring that personnel and the surroundings are not contaminated with radioactivity"	"obtaining consent to perform the procedure"	"delivering antihistamines for any adverse reactions to the procedure"	"testing the pressure of the cerebrospinal fluid"	"performing the lumbar puncture"	"0"	"ensuring that personnel and the surroundings are not contaminated with radioactivity"	"Frequently, the radiopharmaceutical for cisternography is administered outside the nuclear medicine department. It is typically the technologist who transports the tracer to the area where the lumbar puncture is being performed and oversees its administration. One of the responsibilities of the technologist is to protect personnel in the work environment by limiting their radiation exposure and confining radioactivity to prevent the spread of contamination. In this instance, the technologist is the onsite expert in handling radioactive materials. Therefore, the technologist should ensure that any contaminated materials used during the lumbar puncture are collected for proper disposal. The administration area should be monitored for contamination and any personnel who handled the radiopharmaceutical should be monitored before they are permitted to leave the area. Waterstram-Rich and Gilmore, et al.,"	"Source: Steves, 1999; pp. 269-271."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-024"	"1"	"24"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"4"	"Sodium phosphate 32P may be used to treat which of the following conditions?"	"liver metastases"	"lupus"	"rheumatoid arthritis"	"malignant effusions"	"polycythemia vera"	"4"	"polycythemia vera"	"Sodium phosphate 32P is administered intravenously and may be used to treat polycythemia vera."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 97."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-025"	"1"	"25"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"5"	"Supersaturated potassium iodide solution may be administered to the patient for therapy with which of the following radiopharmaceuticals?"	"[153Sm] lexidronam (Quadramet)"	"[89Sr] chloride"	"[131I] sodium iodide"	"[131I] tositumomab"	"[90Y] chloride"	"3"	"[131I] tositumomab"	"To minimize thyroid uptake of unbound iodine that may be present in the radiopharmaceutical, supersaturated potassium iodide is administered to a patient receiving 131I tositumomab for treatment of non-Hodgkin's lymphoma. The blocking agent is administered 1 day before and for the next 14 days during therapy."	"Source: Seldin; p. 110."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-026"	"1"	"26"	"Instrumentation & QC"	"Instrumentation & QC"	"protocol"	"1"	"The first step that a technologist should initiate in a safe environment when an adult patient is determined to be unresponsive is to:"	"Perform chest compressions."	"Establish an airway."	"Check for a carotid pulse."	"Call for help."	"Perform rescue breathing."	"3"	"Call for help."	"American Heart Association standards and guidelines indicate that once verification of cardiac arrest has occurred, the rescuer should call for help first and then initiate CPR. b Mallinckrodt, 2004."	"Source: Adler and Carlton, 2016; p. 265."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1202.jpeg"	""	""	""
"exam1-027"	"1"	"27"	"Clinical Procedures"	"Clinical Procedures"	"protocol"	"2"	"[111In] pentetreotide should not be administered through an intravenous line containing:"	"water"	"a total parenteral nutrition mixture"	"dextrose"	"glucose"	"0.9% sodium chloride"	"1"	"a total parenteral nutrition mixture"	"[111In] pentetreotide should not be administered through an intravenous line containing total parenteral nutrition (TPN) mixtures, because the tracer may form a complex with components of the TPN mixture. Because the chemical form of the tracer is altered, its distribution in the body will change."	"Source: Mallinckrodt, 2004."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-028"	"1"	"28"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"3"	"Dual-isotope gastric emptying studies use which of the following radiopharmaceuticals for each phase of gastric emptying?"	"Liquid phase: [111In] pentetate (DTPA); solid phase: [99mTc] sulfur colloid"	"Liquid phase: [111In] pentetreotide; solid phase: [99mTc] sulfur colloid"	"Liquid phase: [99mTc] sulfur colloid; solid phase: [111In] pentetate (DTPA)"	"Liquid phase: [201Tl] thallous chloride; solid phase: [99mTc] sestamibi"	"Liquid phase: [99mTc] pentetate (DTPA); solid phase: [99mTc] sulfur colloid"	"0"	"Liquid phase: [111In] pentetate (DTPA); solid phase: [99mTc] sulfur colloid"	"When liquid and gastric emptying times are to be determined simultaneously, the solid phase is labeled with 99mTc-sulfur colloid and the liquid phase is mixed with 111In-pentetate (DTPA)."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 534."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-029"	"1"	"29"	"Patient Care"	"Patient Care"	"concept"	"4"	"Proper placement of a urine collection bag includes:"	"placing it across the patien's lower legs to keep it near the level of the bladder"	"placing it on the stretcher near the patient's feet so it is out of the field of view of the camera"	"discharging the urine collection bag must be done before the exam begins"	"hanging it from an IV pole and raising it above the level of the bladder"	"hanging it from the imaging table so it is lower than the level of the bladder"	"4"	"hanging it from the imaging table so it is lower than the level of the bladder"	"For proper drainage, the urine collection bag must always be lower than the urinary bladder. If it is not lower, the urine may reflux back into the bladder, which may result in a urinary tract infection."	"Source: Adler and Carlton, 2016; p. 238."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-030"	"1"	"30"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"5"	"Which of the following radiopharmaceuticals can be used to assess vesicoureteral reflux by the indirect method?"	"[99mTc] pertechnetate"	"[99mTc] sulfur colloid"	"[99mTc] pentetate (DTPA)"	"[99mTc] medronate (MDP)"	"[99mTc] albumin (MAA)"	"2"	"[99mTc] pentetate (DTPA)"	"Radionuclide cystography is used to assess vesicoureteral reflux. This study may be performed by the indirect or the direct method. In the indirect method, a renal agent is administered intravenously. When the tracer has cleared from the kidneys into the bladder, imaging of the ureters and kidneys is performed after the patient voids."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 571."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-031"	"1"	"31"	"Patient Care"	"Patient Care"	"concept"	"1"	"If 0.02 ug/kg of cholecystokinin is needed for a hepatibiliary study, what volume needs to be drawn for a 175 lb patient with a solution of 10 ug/ml available to draw from?"	"0.115 mL"	"0.129 mL"	"0.134 mL"	"0.149 mL"	"0.159 mL"	"4"	"0.159 mL"	"There are 2.2 lbs per kg. Therefore: How many kg = 175 lbs x 1 kg/2.2 lbs = 79.54 kg How many micrograms of CCK needed = 79.54 kg x 0.02 |g/1 kg = 159 pg total needed for patient How many mL needed = 1.59 ug needed x 1 mL/10 pg = 0.159 mL volume needed for patient."	"Source: Shackett, 2009; p. 423."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-032"	"1"	"32"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"2"	"Parenteral administration of a drug or radiopharmaceutical would include all of the following routes except:"	"oral"	"intramuscular"	"subcutaneous"	"intravenous"	"intrathecal"	"0"	"oral"	"The term parenteral means ""other than through the intestine."" is"	"Source: Kowalczyk and Donnett, 1996; p. 170."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-033"	"1"	"33"	"Image Production"	"SPECT"	"protocol"	"3"	"The red cell survival test is most often performed on a patient with suspected:"	"hemolytic anemia"	"intestinal malabsorption"	"iron deficiency anemia"	"pernicious anemia"	"gastrointestinal bleeding"	"0"	"hemolytic anemia"	"The red cell survival test is used to study the lifespan of red blood cells in patients with suspected hemolytic anemia. These patients will have a cell lifespan shorter than normal."	"Source: Early and Sodee, 1995; p. 734."	"Question photos/Questions/Exam 1/IMG_1296.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-034"	"1"	"34"	"Instrumentation & QC"	"Instrumentation & QC"	"concept"	"4"	"A technologist confirms a referring physician's request for a nuclear medicine procedure for a hospitalized patient by:"	"asking the floor nurse"	"telephoning the patient's physician for confirmation"	"locating the order for the test in the patient's medical record"	"conferring with the nuclear medicine physician"	"asking the patient why s/he came to the nuclear medicine department"	"2"	"locating the order for the test in the patient's medical record"	"The referring physician initiates orders for diagnostic testing and enters those orders in the patient's medical record. It is the technologist's responsibility to confirm the orders for a nuclear medicine test for each patient."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 143."	"Question photos/Questions/Exam 1/IMG_1297.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-035"	"1"	"35"	"Instrumentation & QC"	"Collimators"	"protocol"	"5"	"Which type of collimator should be used for organ counting during a red cell sequestration study?"	"low-energy, high-sensitivity parallel hole"	"high-energy, low-resolution parallel hole"	"pinhole"	"flat field"	"converging"	"3"	"flat field"	"A probe system equipped with a ffat-field collimator should be used to obtain organ counts. This will allow adequate statistics in reasonable time periods and exclude counts coming from areas outside the region interest."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 627."	"Question photos/Questions/Exam 1/IMG_1297.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-036"	"1"	"36"	"Patient Care"	"Patient Care"	"concept"	"1"	"If a plasma volume has been determined to be 15 L, which of the following events has most likely occurred?"	"completion of a satisfactory study"	"overhydration of the patient"	"dehydration of the patient"	"patient did not fast for the study"	"infiltration of the tracer"	"4"	"infiltration of the tracer"	"Source: Early and Sodee, 1995; pp. 726-728,"	"Source: Early and Sodee, 1995; pp. 726-728,"	"Question photos/Questions/Exam 1/IMG_1297.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-037"	"1"	"37"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"2"	"A biohazard warning label would be found on all of the following except a:"	"contaminated sharps container"	"refrigerator containing potentially infectious material"	"receptacle for contaminated laundry"	"unit of blood released for clinical use"	"uncontaminated sharps container"	"3"	"unit of blood released for clinical use"	"Biohazard warning labels are attached to any container of regulated materials. These include refrigerators, freezers, and anything used to store, transfer, or ship blood or infectious materials. Labels are not required on containers of blood that have been released for clinical use, such as blood transfusion."	"Source: Administration, 1992; pp. 12-13."	"Question photos/Questions/Exam 1/IMG_1297.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
"exam1-038"	"1"	"38"	"Instrumentation & QC"	"Instrumentation & QC"	"calculation"	"4"	"The total blood volume may be calculated by dividing the plasma volume measured with labeled albumin by the:"	"hematocrit"	"plasmacrit"	"corrected hematocrit"	"corrected plasmacrit"	"hemoglobin"	"3"	"corrected plasmacrit"	"The formula for calculating the total blood volume (TBV) based on the plasma volume uses the corrected plasmacrit in the denominator. Correction is needed to account for trapped plasma and to adjust the venous hematorit to an average whole body hematocrit. The formula is: plasma volume TBV = 1 - (HCT x 0.97 x 0.91)"	"Source: Early and Sodee, 1995; p. 728."	"Question photos/Questions/Exam 1/IMG_1297.jpeg"	"Question photos/Answers/Exam 1/IMG_1204.jpeg"	""	""	""
